epoch;jito_total_mev_lamports;jito_total_mev_sol;jito_stake_weight_lamports;jito_mev_reward_per_lamport
811;16704644505246;16704.644505;387678552050108218;4.3088905529875406e-05
812;13960891440603;13960.891441;382917707006562830;3.645924747053738e-05
813;16867186983245;16867.186983;386157735382649333;4.367952636383435e-05
814;17509928810655;17509.928811;388710136781850736;4.504623665238193e-05
815;16788646782152;16788.646782;388639211544776144;4.319854066042365e-05
816;13054352884301;13054.352884;389696661052474562;3.349875477260804e-05
817;16351053744355;16351.053744;390949976699745196;4.182390259333057e-05
818;22314895936818;22314.895937;392318868526883081;5.6879486884248354e-05
819;23533626222201;23533.626222;391268534936480843;6.0146993997412764e-05
820;13016519323660;13016.519324;388573899148093049;3.349818233339227e-05
821;18350061511925;18350.061512;390401860773821988;4.700300730010107e-05
822;16864981610162;16864.98161;388968752743682781;4.3358191348793134e-05
823;12507003047601;12507.003048;385582173715352997;3.243667342576371e-05
824;12913423084762;12913.423085;385384376249354876;3.350790504388959e-05
825;14644018667417;14644.018667;389207630213362276;3.762520960698843e-05
826;13051361626701;13051.361627;393695141598479156;3.315093392747983e-05
827;9047958599052;9047.958599;387165388685433611;2.336975066333561e-05
